epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.919,1.11376,1.21,1.20032,0.63293,0.55218,0.58789,0.42423,1.00891,1.07904,1.09332,3.94839e-05,3.94839e-05,3.94839e-05
2,375.332,1.10062,1.24643,1.18304,0.61146,0.53902,0.56759,0.40294,1.03333,1.13396,1.11488,7.75834e-05,7.75834e-05,7.75834e-05
3,522.652,1.09325,1.23567,1.17771,0.63061,0.50067,0.54095,0.38144,1.06657,1.2065,1.13462,0.000114112,0.000114112,0.000114112
4,672.791,1.09528,1.22506,1.17732,0.57989,0.51916,0.5297,0.37628,1.07832,1.2124,1.14956,0.000111931,0.000111931,0.000111931
5,821.626,1.08412,1.19049,1.16747,0.62503,0.48899,0.52875,0.37708,1.08238,1.22309,1.15191,0.000109575,0.000109575,0.000109575
6,1021.68,1.0707,1.14918,1.15968,0.65288,0.47641,0.52925,0.37097,1.09816,1.21465,1.15925,0.000107219,0.000107219,0.000107219
7,1248.44,1.06604,1.12747,1.15466,0.63937,0.48002,0.51651,0.3656,1.09716,1.24733,1.16188,0.000104863,0.000104863,0.000104863
8,1475.81,1.06275,1.10359,1.14991,0.62631,0.49853,0.53013,0.36986,1.10415,1.23563,1.16913,0.000102507,0.000102507,0.000102507
9,1705.49,1.04736,1.06892,1.14564,0.59877,0.47768,0.51643,0.36254,1.10093,1.23917,1.16466,0.00010015,0.00010015,0.00010015
10,1928.54,1.04243,1.05724,1.141,0.58358,0.49926,0.51961,0.36651,1.10728,1.24384,1.16891,9.77942e-05,9.77942e-05,9.77942e-05
11,2143.33,1.03468,1.03755,1.13408,0.62935,0.47535,0.52186,0.36628,1.11631,1.25353,1.17573,9.5438e-05,9.5438e-05,9.5438e-05
